seed,mode,selection_mode,policy,threshold,target_positive_rate,sampled_pixels,sampled_wet_pixels,predicted_positive_pixels,predicted_positive_rate,precision_on_sample,recall_on_sample,tier_0_dry,tier_1_strong,tier_2_medium,tier_3_weak
13,raw,threshold,area_cap_15,0.49770176410675054,0.15,89606,6338,9731,0.10859763855098989,0.0660774843284349,0.10145156200694225,9088,292,163,188
13,raw,threshold,area_cap_20,0.4975882768630982,0.2,89606,6338,17913,0.1999084882708747,0.062412772846536034,0.17639633953928685,16795,594,282,242
42,raw,threshold,area_cap_15,0.4917259812355042,0.15,89606,6338,11709,0.1306720532107225,0.053548552395593134,0.09892710634269486,11082,213,94,320
42,raw,threshold,area_cap_20,0.4909712970256806,0.2,89606,6338,15794,0.17626051826886593,0.07072305938964163,0.1762385610602714,14677,360,188,569
99,raw,threshold,area_cap_15,0.44744729995727545,0.15,89606,6338,13230,0.14764636296676562,0.13484504913076342,0.2814768065635847,11446,592,309,883
99,raw,threshold,area_cap_20,0.446918398141861,0.2,89606,6338,17132,0.19119255407003996,0.10710950268503386,0.2895235089933733,15297,610,320,905
