seed,mode,selection_mode,policy,threshold,target_positive_rate,sampled_pixels,sampled_wet_pixels,predicted_positive_pixels,predicted_positive_rate,precision_on_sample,recall_on_sample,tier_0_dry,tier_1_strong,tier_2_medium,tier_3_weak
13,raw,exact_area_cap,area_cap_15,0.49770176410675054,0.15,89606,6338,13441,0.15000111599669666,0.06480172606204895,0.13742505522246765,12570,416,228,227
13,raw,exact_area_cap,area_cap_20,0.4975882768630982,0.2,89606,6338,17921,0.1999977680066067,0.062384911556274764,0.17639633953928685,16803,594,282,242
42,raw,exact_area_cap,area_cap_15,0.4917259812355042,0.15,89606,6338,13441,0.15000111599669666,0.06368573766832825,0.13505837803723572,12585,282,135,439
42,raw,exact_area_cap,area_cap_20,0.4909712970256806,0.2,89606,6338,17921,0.1999977680066067,0.07494001450811896,0.21189649731776586,16578,460,244,639
99,raw,exact_area_cap,area_cap_15,0.44744729995727545,0.15,89606,6338,13441,0.15000111599669666,0.13272821962651588,0.2814768065635847,11657,592,309,883
99,raw,exact_area_cap,area_cap_20,0.446918398141861,0.2,89606,6338,17921,0.1999977680066067,0.1059650689135651,0.29962133165036287,16022,648,331,920
