seed,mode,selection_mode,policy,threshold,target_positive_rate,sampled_pixels,sampled_wet_pixels,predicted_positive_pixels,predicted_positive_rate,precision_on_sample,recall_on_sample,tier_0_dry,tier_1_strong,tier_2_medium,tier_3_weak
13,calibrated,threshold,area_cap_15,0.4726580679416657,0.15,89606,6338,13439,0.14997879606276365,0.1029838529652504,0.2183654149573998,12055,464,272,648
13,calibrated,threshold,area_cap_20,0.47251456975936895,0.2,89606,6338,17819,0.19885945137602393,0.09529154273528256,0.26790785736825495,16121,596,365,737
42,calibrated,threshold,area_cap_15,0.5623043179512025,0.15,89606,6338,13440,0.14998995602973014,0.09627976190476191,0.2041653518460082,12146,481,261,552
42,calibrated,threshold,area_cap_20,0.5616656541824342,0.2,89606,6338,17921,0.1999977680066067,0.08543050053010434,0.24155885137267277,16390,590,339,602
99,calibrated,threshold,area_cap_15,0.9877527952194215,0.15,89606,6338,13440,0.14998995602973014,0.08444940476190477,0.1790785736825497,12305,505,282,348
99,calibrated,threshold,area_cap_20,0.9858664870262147,0.2,89606,6338,17921,0.1999977680066067,0.10875509179175269,0.307510255601136,15972,785,438,726
